"发票创建日期段","供应商编号","供应商名称","发票编号","店铺号","JV","货品编号","货品说明","销售日期","数量","净销售额","含税售额","代销比率","不含税金额","含税金额",
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-12-11,1,42.12,47.6,60.76,25.59,28.92,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-12-10,1,79.29,89.6,60.76,48.18,54.44,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922711,春夏南非复活草恒润保湿乳110毫升,2020-12-10,1,91.68,103.6,60.76,55.71,62.95,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922711,春夏南非复活草恒润保湿乳110毫升,2020-12-11,1,91.68,103.6,60.76,55.71,62.95,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-12-13,1,77.88,88,60.76,47.32,53.47,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-12,2,23.54,26.6,60.76,14.3,16.16,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-13,2,23.54,26.6,60.76,14.3,16.16,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-09,2,16.81,19,60.76,10.22,11.54,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-11,2,16.81,19,60.76,10.22,11.54,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-12,2,16.81,19,60.76,10.22,11.54,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-13,2,16.81,19,60.76,10.22,11.54,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,100970620,春夏轻盈倍护防晒水凝乳SPF50+PA+++50克,2020-12-13,1,96.46,109,60.76,58.61,66.23,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,101116711,春夏净透亮采无瑕裸妆霜01象牙色30毫升,2020-12-08,1,105.31,119,60.76,63.99,72.3,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,101116711,春夏净透亮采无瑕裸妆霜01象牙色30毫升,2020-12-13,1,105.31,119,60.76,63.99,72.3,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,101116713,春夏净透亮采修颜隔离霜(柔光紫)30毫升,2020-12-13,1,105.31,119,60.76,63.99,72.3,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,101131618,春夏巴西红樱桃亮采补水面膜26毫升X1片,2020-12-11,-1,-13.27,-15,60.76,-8.07,-9.11,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,151,991,101131618,春夏巴西红樱桃亮采补水面膜26毫升X1片,2020-12-11,3,39.82,45,60.76,24.2,27.34,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,170,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-12-11,2,84.25,95.2,60.76,51.19,57.84,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,170,991,101116709,春夏玻尿酸原液水光澎弹精华液25毫升,2020-12-11,1,0,0,60.76,0,0,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,170,991,101140418,春夏玻尿酸高保湿双管精华乳(55毫升+55毫升),2020-12-11,1,133.4,150.74,60.76,81.05,91.59,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,170,991,101140419,春夏胜肽抗皱紧致双管精华乳(55毫升+55毫升),2020-12-11,2,266.81,301.49,60.76,162.11,183.19,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,175,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-12-10,1,60.18,68,60.76,36.56,41.32,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,175,991,101116714,春夏净透亮采无瑕裸妆霜02自然色30毫升,2020-12-09,1,105.31,119,60.76,63.99,72.3,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,175,991,101140418,春夏玻尿酸高保湿双管精华乳(55毫升+55毫升),2020-12-12,2,311.43,351.92,60.76,189.23,213.83,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-12-09,1,36.11,40.8,60.76,21.94,24.79,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-12-12,1,36.11,40.8,60.76,21.94,24.79,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-12-13,2,84.25,95.2,60.76,51.19,57.84,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-12-08,1,79.29,89.6,60.76,48.18,54.44,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-12-09,1,67.96,76.8,60.76,41.3,46.66,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-12-09,2,135.93,153.6,60.76,82.59,93.33,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-12-12,1,67.96,76.8,60.76,41.3,46.66,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922711,春夏南非复活草恒润保湿乳110毫升,2020-12-12,1,78.58,88.8,60.76,47.75,53.95,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922812,春夏芬兰海莓果滋润倍护气泡水130毫升,2020-12-07,1,139.82,158,60.76,84.96,96,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922816,春夏南非复活草恒润保湿霜50克,2020-12-12,1,73.27,82.8,60.76,44.52,50.31,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922817,春夏法国紫苏弹嫩柔润紧肤水130毫升,2020-12-09,1,166.37,188,60.76,101.09,114.23,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922818,春夏法国紫苏弹嫩柔润紧肤乳110毫升,2020-12-08,1,192.92,218,60.76,117.22,132.46,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922818,春夏法国紫苏弹嫩柔润紧肤乳110毫升,2020-12-09,1,192.92,218,60.76,117.22,132.46,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-08,1,11.77,13.3,60.76,7.15,8.08,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-09,1,10.09,11.4,60.76,6.13,6.93,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-12,2,21.64,24.45,60.76,13.15,14.86,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-12,1,9.71,10.97,60.76,5.9,6.67,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-13,-1,-11.55,-13.05,60.76,-7.02,-7.93,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-07,2,16.81,19,60.76,10.22,11.54,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-07,2,16.81,19,60.76,10.22,11.54,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-08,4,33.63,38,60.76,20.43,23.09,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-13,2,16.81,19,60.76,10.22,11.54,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,101116709,春夏玻尿酸原液水光澎弹精华液25毫升,2020-12-09,1,0,0,60.76,0,0,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,101116709,春夏玻尿酸原液水光澎弹精华液25毫升,2020-12-12,1,0,0,60.76,0,0,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,101116710,春夏维生素B5原液舒缓修护精华液25毫升,2020-12-12,1,0,0,60.76,0,0,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,101132612,春夏净透亮白润肤水130毫升,2020-12-09,1,110.44,124.8,60.76,67.1,75.83,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,101140418,春夏玻尿酸高保湿双管精华乳(55毫升+55毫升),2020-12-12,1,156.81,177.19,60.76,95.27,107.66,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,101140418,春夏玻尿酸高保湿双管精华乳(55毫升+55毫升),2020-12-13,-1,-156.81,-177.19,60.76,-95.27,-107.66,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,284,991,101140419,春夏胜肽抗皱紧致双管精华乳(55毫升+55毫升),2020-12-12,2,263.72,298,60.76,160.23,181.06,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,291,991,101116709,春夏玻尿酸原液水光澎弹精华液25毫升,2020-12-13,1,0,0,60.76,0,0,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,291,991,101140419,春夏胜肽抗皱紧致双管精华乳(55毫升+55毫升),2020-12-13,2,308.96,349.12,60.76,187.72,212.13,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,352,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-12-12,1,42.12,47.6,60.76,25.59,28.92,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,352,991,100922815,春夏南非复活草三合一恒润保湿乳110毫升,2020-12-12,1,91.68,103.6,60.76,55.71,62.95,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,352,991,100922816,春夏南非复活草恒润保湿霜50克,2020-12-09,1,122.12,138,60.76,74.2,83.85,
2020-12-07~2020-12-13,1092183853,上海伽蓝美妆销售有限  ,17513606,352,991,101116714,春夏净透亮采无瑕裸妆霜02自然色30毫升,2020-12-09,1,105.31,119,60.76,63.99,72.3,
