"发票创建日期段","供应商编号","供应商名称","发票编号","店铺号","JV","货品编号","货品说明","销售日期","数量","净销售额","含税售额","代销比率","不含税金额","含税金额",
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100879710,自然堂男士喜马拉雅冰川滋润霜50克,2020-12-14,1,54.89,62.03,59.52,32.67,36.92,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100879710,自然堂男士喜马拉雅冰川滋润霜50克,2020-12-17,1,67.58,76.37,59.52,40.23,45.46,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-20,2,113.6,128.37,59.52,67.62,76.41,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100879713,自然堂男士喜马拉雅绿泥控油洁面膏120克,2020-12-17,1,43.36,49,59.52,25.81,29.16,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-12-16,1,43.36,49,59.52,25.81,29.16,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-12-17,1,43.36,49,59.52,25.81,29.16,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100879715,自然堂男士喜马拉雅红泥抗痘洁面膏120克,2020-12-19,2,65.04,73.5,59.52,38.71,43.75,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-14,1,32.72,36.97,59.52,19.47,22,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,151,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-17,1,41.37,46.75,59.52,24.62,27.83,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,175,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-16,3,188.1,212.55,59.52,111.96,126.51,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,175,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-17,1,66.88,75.57,59.52,39.8,44.98,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,175,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-17,1,60.12,67.93,59.52,35.78,40.43,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-16,1,62.7,70.85,59.52,37.32,42.17,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-16,1,87.61,99,59.52,52.15,58.92,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100879710,自然堂男士喜马拉雅冰川滋润霜50克,2020-12-16,1,54.88,62.02,59.52,32.67,36.91,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-20,2,112.57,127.2,59.52,67,75.71,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100879712,自然堂男士喜马拉雅白泥净亮洁面膏120克,2020-12-14,1,32.52,36.75,59.52,19.36,21.87,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100879713,自然堂男士喜马拉雅绿泥控油洁面膏120克,2020-12-19,1,32.52,36.75,59.52,19.36,21.87,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-12-19,1,32.52,36.75,59.52,19.36,21.87,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100897309,自然堂男士喜马拉雅龙血能量控油醒肤洁面乳160毫升,2020-12-14,1,39.15,44.24,59.52,23.3,26.33,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100897309,自然堂男士喜马拉雅龙血能量控油醒肤洁面乳160毫升,2020-12-16,1,39.15,44.24,59.52,23.3,26.33,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100897309,自然堂男士喜马拉雅龙血能量控油醒肤洁面乳160毫升,2020-12-19,1,39.16,44.25,59.52,23.31,26.34,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-16,1,32.72,36.97,59.52,19.47,22,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-19,2,91.37,103.25,59.52,54.38,61.45,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,284,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-19,-1,-52.21,-59,59.52,-31.08,-35.12,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,289,991,100879710,自然堂男士喜马拉雅冰川滋润霜50克,2020-12-14,1,87.61,99,59.52,52.15,58.92,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,289,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-15,1,52.68,59.53,59.52,31.36,35.43,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,289,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-17,1,64.78,73.2,59.52,38.56,43.57,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,289,991,100879712,自然堂男士喜马拉雅白泥净亮洁面膏120克,2020-12-17,1,35.66,40.3,59.52,21.23,23.99,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,289,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-15,1,34.93,39.47,59.52,20.79,23.49,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,359,991,100879010,自然堂男士喜马拉雅龙血能量润肤霜50克,2020-12-14,1,105.31,119,59.52,62.68,70.83,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,359,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-18,2,138.31,156.29,59.52,82.32,93.02,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,359,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-20,1,79.52,89.86,59.52,47.33,53.48,
2020-12-14~2020-12-20,1092183851,上海伽蓝美妆销售有限  ,17531332,359,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-19,2,118.14,133.5,59.52,70.32,79.46,
