"发票创建日期段","供应商编号","供应商名称","发票编号","店铺号","JV","货品编号","货品说明","销售日期","数量","净销售额","含税售额","代销比率","不含税金额","含税金额",
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-07,1,72.35,81.75,59.52,43.06,48.66,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-12-11,1,72.35,81.75,59.52,43.06,48.66,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-12-11,1,65.71,74.25,59.52,39.11,44.19,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-12-08,2,105.36,119.06,59.52,62.71,70.86,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100879712,自然堂男士喜马拉雅白泥净亮洁面膏120克,2020-12-09,1,32.52,36.75,59.52,19.36,21.87,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100879715,自然堂男士喜马拉雅红泥抗痘洁面膏120克,2020-12-09,1,32.52,36.75,59.52,19.36,21.87,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100897309,自然堂男士喜马拉雅龙血能量控油醒肤洁面乳160毫升,2020-12-07,1,39.16,44.25,59.52,23.31,26.34,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-08,2,69.86,78.94,59.52,41.58,46.99,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,151,991,100897408,自然堂男士喜马拉雅冰川透爽保湿洁面啫喱160毫升,2020-12-12,1,52.21,59,59.52,31.08,35.12,
2020-12-07~2020-12-13,1092183851,上海伽蓝美妆销售有限  ,17512890,163,991,100879713,自然堂男士喜马拉雅绿泥控油洁面膏120克,2020-12-12,1,43.36,49,59.52,25.81,29.16,
