"发票创建日期段","供应商编号","供应商名称","发票编号","店铺号","JV","货品编号","货品说明","销售日期","数量","净销售额","含税售额","代销比率","不含税金额","含税金额",
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,151,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-12-18,1,74.93,84.67,60.76,45.53,51.45,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,151,991,100922816,春夏南非复活草恒润保湿霜50克,2020-12-18,1,81.98,92.64,60.76,49.81,56.29,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,151,991,101131618,春夏巴西红樱桃亮采补水面膜26毫升X1片,2020-12-14,1,13.27,15,60.76,8.07,9.11,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,151,991,101131618,春夏巴西红樱桃亮采补水面膜26毫升X1片,2020-12-14,-1,-13.27,-15,60.76,-8.07,-9.11,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,170,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-12-20,1,49.04,55.41,60.76,29.79,33.67,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,170,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-20,1,16.81,19,60.76,10.22,11.54,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,170,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-20,1,10.58,11.96,60.76,6.43,7.27,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,170,991,100970620,春夏轻盈倍护防晒水凝乳SPF50+PA+++50克,2020-12-20,1,60.73,68.63,60.76,36.9,41.7,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,175,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-12-19,1,66.35,74.98,60.76,40.32,45.56,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,175,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-12-19,3,168.98,190.95,60.76,102.67,116.02,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,175,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-12-19,-1,-77.88,-88,60.76,-47.32,-53.47,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,175,991,100922817,春夏法国紫苏弹嫩柔润紧肤水130毫升,2020-12-19,1,97.46,110.13,60.76,59.22,66.91,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,175,991,101132612,春夏净透亮白润肤水130毫升,2020-12-20,1,113.27,128,60.76,68.83,77.77,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,175,991,101140418,春夏玻尿酸高保湿双管精华乳(55毫升+55毫升),2020-12-19,1,133.74,151.13,60.76,81.26,91.83,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,175,991,101140419,春夏胜肽抗皱紧致双管精华乳(55毫升+55毫升),2020-12-19,1,133.73,151.11,60.76,81.25,91.81,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-12-20,2,73.76,83.35,60.76,44.82,50.64,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922711,春夏南非复活草恒润保湿乳110毫升,2020-12-18,1,86.58,97.83,60.76,52.6,59.44,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-12-17,2,97.52,110.2,60.76,59.25,66.96,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-12-18,1,51.48,58.17,60.76,31.28,35.34,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-12-20,1,74.96,84.7,60.76,45.54,51.46,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922815,春夏南非复活草三合一恒润保湿乳110毫升,2020-12-16,1,91.68,103.6,60.76,55.71,62.95,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922818,春夏法国紫苏弹嫩柔润紧肤乳110毫升,2020-12-20,1,120.41,136.06,60.76,73.16,82.67,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922819,春夏法国紫苏弹嫩柔润精华液40毫升,2020-12-20,1,126.37,142.8,60.76,76.78,86.77,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-16,2,21.86,24.7,60.76,13.28,15.01,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-12-18,1,16.21,18.32,60.76,9.85,11.13,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-16,2,16.81,19,60.76,10.22,11.54,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-12-17,2,21.06,23.8,60.76,12.8,14.46,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,100970619,春夏水感清透防晒凝露SPF30PA+++50克,2020-12-20,1,48.56,54.87,60.76,29.5,33.34,
2020-12-14~2020-12-20,1092183853,上海伽蓝美妆销售有限  ,17531125,284,991,101078608,春夏果酸原液焕亮细肤精华液小套装25毫升+4毫升+4毫升,2020-12-16,1,0,0,60.76,0,0,
