"发票创建日期段","供应商编号","供应商名称","发票编号","店铺号","JV","货品编号","货品说明","销售日期","数量","净销售额","含税售额","代销比率","不含税金额","含税金额",
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,151,991,100922811,春夏芬兰海莓果氨基酸温和洁面膏120克,2020-11-28,1,77.88,88,60.76,47.32,53.47,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,151,991,100922816,春夏南非复活草恒润保湿霜50克,2020-11-26,1,85.49,96.6,60.76,51.94,58.69,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,151,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-11-23,2,23.54,26.6,60.76,14.3,16.16,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,151,991,100922825,春夏南非复活草恒润保湿美手霜30克,2020-11-24,1,16.81,19,60.76,10.22,11.54,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,151,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-11-24,4,33.63,38,60.76,20.43,23.09,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,151,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-11-28,2,16.81,19,60.76,10.22,11.54,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,151,991,100922826,春夏芬兰海莓果滋润倍护美手霜30克,2020-11-29,4,33.63,38,60.76,20.43,23.09,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,151,991,101140418,春夏玻尿酸高保湿双管精华乳(55毫升+55毫升),2020-11-26,1,159.82,180.6,60.76,97.11,109.73,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-11-24,1,60.18,68,60.76,36.56,41.32,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-11-26,-2,-88.5,-100,60.76,-53.77,-60.76,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-11-26,1,36.11,40.8,60.76,21.94,24.79,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-11-26,-1,-34.96,-39.5,60.76,-21.24,-24,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922709,春夏南非复活草恒润保湿洁面膏120克,2020-11-26,3,103.68,117.16,60.76,63,71.19,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-11-26,3,190.83,215.64,60.76,115.95,131.02,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-11-27,1,67.96,76.8,60.76,41.3,46.66,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-11-28,-2,-226.55,-256,60.76,-137.65,-155.55,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-11-28,4,362.48,409.6,60.76,220.24,248.87,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922710,春夏南非复活草恒润保湿原液水(清爽型)130毫升,2020-11-29,1,65.49,74,60.76,39.79,44.96,
2020-11-23~2020-11-29,1092183853,上海伽蓝美妆销售有限  ,17484659,284,991,100922711,春夏南非复活草恒润保湿乳110毫升,2020-11-27,1,78.58,88.8,60.76,47.75,53.95,
