"发票创建日期段","供应商编号","供应商名称","发票编号","店铺号","JV","货品编号","货品说明","销售日期","数量","净销售额","含税售额","代销比率","不含税金额","含税金额",
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879010,自然堂男士喜马拉雅龙血能量润肤霜50克,2020-11-18,1,65.59,74.12,59.52,39.04,44.12,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-11-16,1,60.23,68.06,59.52,35.85,40.51,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879708,自然堂男士喜马拉雅龙血能量润肤露70毫升,2020-11-18,2,118.81,134.25,59.52,70.71,79.91,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879709,自然堂男士喜马拉雅龙血能量爽肤水160毫升,2020-11-16,1,59.24,66.94,59.52,35.26,39.84,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-11-16,2,102.42,115.74,59.52,60.96,68.89,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-11-18,1,49.86,56.34,59.52,29.68,33.53,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879711,自然堂男士喜马拉雅冰川保湿露70毫升,2020-11-21,2,105.36,119.06,59.52,62.71,70.86,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879712,自然堂男士喜马拉雅白泥净亮洁面膏120克,2020-11-16,1,27.3,30.85,59.52,16.25,18.36,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879714,自然堂男士喜马拉雅火山岩抗黑头洁面膏120克,2020-11-21,1,32.52,36.75,59.52,19.36,21.87,
2020-11-16~2020-11-22,1092183851,上海伽蓝美妆销售有限  ,17471793,151,991,100879715,自然堂男士喜马拉雅红泥抗痘洁面膏120克,2020-11-21,1,32.52,36.75,59.52,19.36,21.87,
